contentid,contenttypeid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,cat1,cat2,cat3,tel,firstimage,createdtime,modifiedtime,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,firstimage2,cpyrhtDivCd,mlevel
2852419,39,몽실종가돼지국밥,부산광역시 서구 까치고개로197번길 3 (아미동2가),,6,11,129.0173663871,35.1001616416,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/18/2852418_image2_1.jpg,20220913115333,20250611175334,49241,26,140,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/18/2852418_image3_1.jpg,Type3,6
2862337,39,몽작,부산광역시 영도구 남항서로 36,,6,14,129.0361429493,35.0848414795,A05,A0502,A05020200,,,20220929182715,20260102180409,49050,26,200,FD,FD02,FD020300,,,6
304811,12,묘심사(부산),부산광역시 동구 망양로 671,(수정동),6,5,129.0395054026,35.1267618490,A02,A0201,A02010800,,http://tong.visitkorea.or.kr/cms/resource/32/3343332_image2_1.jpg,20071129233606,20250319190029,48714,26,170,HS,HS03,HS030100,http://tong.visitkorea.or.kr/cms/resource/32/3343332_image3_1.jpg,Type3,6
2776396,39,무진장횟집,부산광역시 기장군 기장읍 연화1길 137,,6,3,129.2261339112,35.2171162986,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/86/2790886_image2_1.JPG,20211119191659,20250108095613,46082,26,710,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/86/2790886_image3_1.JPG,Type3,6
2381567,28,문탠로드,부산광역시 해운대구 달맞이길 120,,6,16,129.1756010591,35.1574970351,A03,A0302,A03022700,,http://tong.visitkorea.or.kr/cms/resource/35/3575935_image2_1.jpg,20160430001154,20251128102929,48098,26,350,LS,LS01,LS011900,http://tong.visitkorea.or.kr/cms/resource/35/3575935_image3_1.jpg,Type1,6
2891868,39,문토스트,부산광역시 해운대구 송정해변로 16 (송정동),,6,16,129.2043979105,35.1809477221,A05,A0502,A05020200,,http://tong.visitkorea.or.kr/cms/resource/57/2891857_image2_1.jpg,20221031162042,20250902103855,48072,26,350,FD,FD03,FD030200,http://tong.visitkorea.or.kr/cms/resource/57/2891857_image3_1.jpg,Type3,6
851907,39,문화쌈밥,부산광역시 남구 유엔평화로 72,,6,4,129.0931951234,35.1287570602,A05,A0502,A05020100,,,20091030221127,20240912111844,48533,26,290,FD,FD01,FD010100,,,6
132805,39,물꽁식당,부산광역시 중구 흑교로59번길 3,,6,15,129.0244017679,35.1045168387,A05,A0502,A05020100,,,20040227090000,20240913105355,48963,26,110,FD,FD01,FD010100,,,6
2732397,12,물빛색스튜디오,부산광역시 강서구 체육공원로6번길 139-28 (대저1동),,6,1,128.9797833440,35.2093737159,A02,A0203,A02030400,,http://tong.visitkorea.or.kr/cms/resource/64/3491264_image2_1.jpg,20210810015414,20250516100204,46703,26,440,EX,EX07,EX070200,http://tong.visitkorea.or.kr/cms/resource/64/3491264_image3_1.jpg,Type3,6
2872395,39,미동암소정,부산광역시 기장군 철마면 미동길 19,,6,3,129.1706423269,35.2883350627,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/86/2872386_image2_1.JPG,20221021135427,20251106094416,46050,26,710,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/86/2872386_image3_1.JPG,Type3,6
