grid_x,grid_y,lat,lon
1437,876,34.890835,129.10295
1438,876,34.89066,129.1085
1439,876,34.89048,129.11407
1440,876,34.8903,129.11964
1441,876,34.89012,129.12521
1442,876,34.889942,129.13077
1443,876,34.889763,129.13634
1444,876,34.889584,129.1419
1445,876,34.889404,129.14746
1446,876,34.88922,129.15303
1447,876,34.88904,129.1586
1448,876,34.888863,129.16417
1449,876,34.88868,129.16972
1450,876,34.888496,129.1753
1451,876,34.888317,129.18086
1452,876,34.888134,129.18642
1453,876,34.88795,129.19199
1454,876,34.887768,129.19756
1455,876,34.887585,129.20311
1456,876,34.8874,129.20868
1457,876,34.887215,129.21425
1458,876,34.88703,129.2198
1459,876,34.88685,129.22537
1460,876,34.88666,129.23094
1461,876,34.88648,129.2365
1462,876,34.88629,129.24207
1463,876,34.886105,129.24763
1464,876,34.885918,129.25319
1465,876,34.88573,129.25876
1466,876,34.885544,129.26433
1467,876,34.885357,129.26988
1468,876,34.88517,129.27545
1469,876,34.884983,129.28102
1470,876,34.884796,129.28658
1471,876,34.884605,129.29214
1472,876,34.88442,129.29771
1473,876,34.884228,129.30327
1377,877,34.905518,128.76917
1378,877,34.905357,128.77473
1379,877,34.9052,128.7803
1380,877,34.90504,128.78587
1381,877,34.90488,128.79144
1382,877,34.90472,128.79701
1383,877,34.90456,128.80258
1384,877,34.9044,128.80814
1385,877,34.90424,128.8137
1386,877,34.904076,128.81927
1387,877,34.903915,128.82484
1388,877,34.90375,128.83041
1389,877,34.90359,128.83598
1390,877,34.903427,128.84155
1391,877,34.903263,128.8471
1392,877,34.903103,128.85268
1393,877,34.90294,128.85825
1394,877,34.902775,128.86382
1395,877,34.90261,128.86938
1396,877,34.902447,128.87495
1397,877,34.90228,128.88051
1398,877,34.902115,128.88608
1399,877,34.90195,128.89165
1400,877,34.901783,128.89722
1401,877,34.90162,128.90279
1402,877,34.90145,128.90834
1403,877,34.901283,128.91391
1404,877,34.901115,128.91948
1405,877,34.900948,128.92505
1406,877,34.90078,128.93062
1407,877,34.90061,128.93617
1408,877,34.900444,128.94174
1409,877,34.900276,128.94731
1410,877,34.90011,128.95288
1411,877,34.899937,128.95845
1412,877,34.89977,128.964
1413,877,34.899597,128.96957
1414,877,34.89943,128.97514
1415,877,34.899258,128.98071
1416,877,34.899086,128.98628
1417,877,34.898914,128.99184
1418,877,34.898743,128.9974
1419,877,34.89857,129.00298
1420,877,34.8984,129.00854
1421,877,34.898228,129.01411
1422,877,34.898052,129.01967
1423,877,34.89788,129.02524
1424,877,34.897705,129.0308
1425,877,34.897533,129.03638
1426,877,34.897358,129.04193
1427,877,34.897182,129.0475
1428,877,34.89701,129.05307
1429,877,34.896835,129.05864
1430,877,34.89666,129.06421
1431,877,34.896484,129.06976
1432,877,34.89631,129.07533
1433,877,34.89613,129.0809
1434,877,34.895954,129.08647
1435,877,34.89578,129.09203
1436,877,34.8956,129.0976
1437,877,34.89542,129.10316
1438,877,34.895245,129.10873
1439,877,34.895065,129.11429
1440,877,34.894886,129.11986
1441,877,34.894707,129.12543
1442,877,34.894527,129.131
1443,877,34.89435,129.13655
1444,877,34.89417,129.14212
1445,877,34.89399,129.14769
